instrumentId,valuationBidPrice,timeStamp,valuationAskPrice,lastMarketClosePrice,bid-price,bid-quantity,bid-price,bid-quantity,bid-price,bid-quantity,bid-price,bid-quantity,bid-price,bid-quantity,ask-price,ask-quantity,ask-price,ask-quantity,ask-price,ask-quantity,ask-price,ask-quantity,ask-price,ask-quantity,lastTradedPrice,dailyHighestTradedPrice,dailyLowestTradedPrice,marketClosePriceTimeStamp,timereceived,instruname,obeventrow
4001,1.26876,1352806386733,1.26876,1.27089,1.26876,100,1.26873,1000,1.26872,125,1.26871,300,1.2687,385,1.26876,50,1.26877,200,1.26878,200,1.26879,500,1.2688,375,1.26877,1.27103,1.26612,1352757600000,1352806388631,EUR/USD,1
4001,1.26876,1352806388793,1.26877,1.27089,1.26876,100,1.26873,1000,1.26872,125,1.26871,350,1.2687,535,1.26877,100,1.26878,350,1.26879,500,1.2688,375,1.26881,1010,1.26877,1.27103,1.26612,1352757600000,1352806389669,EUR/USD,2
4001,1.26876,1352806389164,1.26877,1.27089,1.26876,100,1.26874,50,1.26873,1025,1.26872,150,1.26871,250,1.26877,100,1.26878,350,1.26879,500,1.2688,375,1.26881,1000,1.26877,1.27103,1.26612,1352757600000,1352806390072,EUR/USD,3
4001,1.26876,1352806389239,1.26877,1.27089,1.26876,100,1.26874,100,1.26873,975,1.26872,200,1.26871,350,1.26877,50,1.26878,250,1.26879,600,1.2688,125,1.26881,900,1.26877,1.27103,1.26612,1352757600000,1352806390287,EUR/USD,4
4001,1.26876,1352806389817,1.26877,1.27089,1.26876,100,1.26874,100,1.26873,1075,1.26872,100,1.26871,350,1.26877,50,1.26878,250,1.26879,600,1.2688,125,1.26881,900,1.26877,1.27103,1.26612,1352757600000,1352806390626,EUR/USD,5
4001,1.26876,1352806393792,1.26877,1.27089,1.26876,100,1.26874,100,1.26873,1125,1.26872,200,1.26871,200,1.26877,50,1.26878,200,1.26879,450,1.2688,175,1.26881,1050,1.26877,1.27103,1.26612,1352757600000,1352806395187,EUR/USD,6
4001,1.26876,1352806395543,1.26877,1.27089,1.26876,100,1.26874,100,1.26873,1025,1.26872,300,1.26871,200,1.26877,50,1.26878,200,1.26879,450,1.2688,175,1.26881,1150,1.26877,1.27103,1.26612,1352757600000,1352806396958,EUR/USD,7
4001,1.26876,1352806395932,1.26877,1.27089,1.26876,100,1.26874,100,1.26873,1125,1.26872,200,1.26871,200,1.26877,50,1.26878,200,1.26879,450,1.2688,175,1.26881,1050,1.26877,1.27103,1.26612,1352757600000,1352806397115,EUR/USD,8
4001,1.26876,1352806396093,1.26877,1.27089,1.26876,100,1.26874,100,1.26873,1075,1.26872,100,1.26871,350,1.26877,50,1.26878,250,1.26879,600,1.2688,125,1.26881,900,1.26877,1.27103,1.26612,1352757600000,1352806397148,EUR/USD,9
4001,1.26876,1352806398283,1.26877,1.27089,1.26876,100,1.26875,50,1.26874,50,1.26873,1075,1.26872,100,1.26877,50,1.26878,250,1.26879,600,1.2688,125,1.26881,900,1.26877,1.27103,1.26612,1352757600000,1352806399767,EUR/USD,10
4001,1.26876,1352806399526,1.26877,1.27089,1.26876,100,1.26875,50,1.26874,50,1.26873,1125,1.26872,200,1.26877,50,1.26878,200,1.26879,450,1.2688,175,1.26881,1050,1.26877,1.27103,1.26612,1352757600000,1352806400921,EUR/USD,11
4001,1.26876,1352806399894,1.26877,1.27089,1.26876,100,1.26875,50,1.26874,50,1.26873,1075,1.26872,100,1.26877,50,1.26878,250,1.26879,600,1.2688,125,1.26881,900,1.26877,1.27103,1.26612,1352757600000,1352806401521,EUR/USD,12
4001,1.26876,1352806400494,1.26877,1.27089,1.26876,100,1.26875,50,1.26874,50,1.26873,1125,1.26872,200,1.26877,50,1.26878,200,1.26879,450,1.2688,125,1.26881,950,1.26877,1.27103,1.26612,1352757600000,1352806401681,EUR/USD,13
4001,1.26876,1352806400645,1.26877,1.27089,1.26876,100,1.26875,50,1.26874,225,1.26873,950,1.26872,200,1.26877,50,1.26878,200,1.26879,350,1.2688,125,1.26881,150,1.26877,1.27103,1.26612,1352757600000,1352806401699,EUR/USD,14
4001,1.26876,1352806400868,1.26877,1.27089,1.26876,100,1.26875,50,1.26874,150,1.26873,1025,1.26872,200,1.26877,50,1.26878,200,1.26879,350,1.2688,125,1.26881,150,1.26877,1.27103,1.26612,1352757600000,1352806401744,EUR/USD,15
4001,1.26876,1352806401152,1.26878,1.27089,1.26876,150,1.26875,150,1.26874,85,1.26873,1200,1.26872,175,1.26878,50,1.26879,200,1.2688,175,1.26881,150,1.26882,675,1.26877,1.27103,1.26612,1352757600000,1352806401949,EUR/USD,16
4001,1.26877,1352806401624,1.26878,1.27089,1.26877,50,1.26876,100,1.26875,150,1.26874,85,1.26873,1200,1.26878,50,1.26879,200,1.2688,175,1.26881,100,1.26882,725,1.26877,1.27103,1.26612,1352757600000,1352806402723,EUR/USD,17
4001,1.26877,1352806401924,1.26879,1.27089,1.26877,50,1.26876,100,1.26875,150,1.26874,185,1.26873,1350,1.26879,50,1.2688,225,1.26881,250,1.26882,475,1.26883,900,1.26877,1.27103,1.26612,1352757600000,1352806402775,EUR/USD,18
4001,1.26877,1352806402006,1.2688,1.27089,1.26877,50,1.26876,150,1.26875,175,1.26874,110,1.26873,1350,1.2688,200,1.26881,325,1.26882,400,1.26883,900,1.26884,575,1.26877,1.27103,1.26612,1352757600000,1352806402824,EUR/USD,19
4001,1.2688,1352806402620,1.2688,1.27089,1.2688,50,1.26879,100,1.26878,550,1.26877,1050,1.26876,275,1.2688,50,1.26881,75,1.26882,50,1.26883,300,1.26884,375,1.26877,1.27103,1.26612,1352757600000,1352806403980,EUR/USD,20
4001,1.2688,1352806402752,1.26882,1.27089,1.2688,50,1.26879,375,1.26878,500,1.26877,1200,1.26876,375,1.26882,50,1.26883,375,1.26884,200,1.26885,100,1.26886,1575,1.26877,1.27103,1.26612,1352757600000,1352806403981,EUR/USD,21
4001,1.2688,1352806402893,1.26883,1.27089,1.2688,50,1.26879,375,1.26878,500,1.26877,1200,1.26876,425,1.26883,225,1.26884,250,1.26885,250,1.26886,1275,1.26887,700,1.26877,1.27103,1.26612,1352757600000,1352806404056,EUR/USD,22
4001,1.2688,1352806403132,1.26883,1.27089,1.2688,175,1.26879,250,1.26878,500,1.26877,1200,1.26876,425,1.26883,225,1.26884,250,1.26885,250,1.26886,1375,1.26887,600,1.26877,1.27103,1.26612,1352757600000,1352806404133,EUR/USD,23
4001,1.2688,1352806403267,1.26883,1.27089,1.2688,175,1.26879,250,1.26878,500,1.26877,1200,1.26876,425,1.26883,225,1.26884,150,1.26885,350,1.26886,1375,1.26887,600,1.26877,1.27103,1.26612,1352757600000,1352806404353,EUR/USD,24
4001,1.2688,1352806404592,1.26883,1.27089,1.2688,175,1.26879,250,1.26878,500,1.26877,1200,1.26876,375,1.26883,275,1.26884,250,1.26885,200,1.26886,1675,1.26887,600,1.26877,1.27103,1.26612,1352757600000,1352806407194,EUR/USD,25
4001,1.2688,1352806404698,1.26883,1.27089,1.2688,175,1.26879,200,1.26878,450,1.26877,1100,1.26876,275,1.26883,325,1.26884,300,1.26885,300,1.26886,1775,1.26887,300,1.26877,1.27103,1.26612,1352757600000,1352806408101,EUR/USD,26
4001,1.26879,1352806404843,1.26882,1.27089,1.26879,100,1.26878,50,1.26877,1025,1.26876,500,1.26875,100,1.26882,50,1.26883,375,1.26884,250,1.26885,360,1.26886,1375,1.26877,1.27103,1.26612,1352757600000,1352806408120,EUR/USD,27
4001,1.26877,1352806404964,1.2688,1.27089,1.26877,275,1.26875,1100,1.26874,135,1.26873,450,1.26871,100,1.2688,50,1.26881,275,1.26882,400,1.26883,150,1.26884,475,1.26877,1.27103,1.26612,1352757600000,1352806408121,EUR/USD,28
4001,1.26877,1352806405056,1.26877,1.27089,1.26877,100,1.26875,950,1.26874,275,1.26873,250,1.26872,50,1.26877,50,1.26878,100,1.2688,575,1.26881,100,1.26882,50,1.26877,1.27103,1.26612,1352757600000,1352806408240,EUR/USD,29
4001,1.26877,1352806405095,1.26877,1.27089,1.26877,100,1.26875,950,1.26874,225,1.26873,150,1.26872,200,1.26877,50,1.26878,100,1.26879,50,1.2688,725,1.26881,100,1.26877,1.27103,1.26612,1352757600000,1352806408314,EUR/USD,30
4001,1.26877,1352806406018,1.26877,1.27089,1.26877,100,1.26875,950,1.26874,225,1.26873,50,1.26872,300,1.26877,50,1.26878,200,1.26879,50,1.2688,625,1.26881,100,1.26877,1.27103,1.26612,1352757600000,1352806409471,EUR/USD,31
4001,1.26877,1352806407037,1.26879,1.27089,1.26877,100,1.26876,100,1.26875,1085,1.26873,400,1.26872,125,1.26879,50,1.2688,300,1.26881,225,1.26882,600,1.26883,900,1.26877,1.27103,1.26612,1352757600000,1352806409472,EUR/USD,32
4001,1.26877,1352806407100,1.26879,1.27089,1.26877,150,1.26876,50,1.26875,1085,1.26873,450,1.26872,225,1.26879,50,1.2688,300,1.26881,175,1.26882,650,1.26883,900,1.26877,1.27103,1.26612,1352757600000,1352806409473,EUR/USD,33
4001,1.26877,1352806408595,1.2688,1.27089,1.26877,150,1.26876,50,1.26875,1085,1.26874,100,1.26873,550,1.2688,200,1.26881,325,1.26882,400,1.26883,900,1.26884,575,1.26877,1.27103,1.26612,1352757600000,1352806411178,EUR/USD,34
4001,1.26877,1352806408835,1.2688,1.27089,1.26877,149.9,1.26876,50,1.26875,1085,1.26874,100,1.26873,550,1.2688,200,1.26881,325,1.26882,400,1.26883,900,1.26884,575,1.26877,1.27103,1.26612,1352757600000,1352806411724,EUR/USD,35
4001,1.26877,1352806409641,1.2688,1.27089,1.26877,199.9,1.26876,75,1.26875,1010,1.26874,175,1.26873,550,1.2688,200,1.26881,325,1.26882,400,1.26883,900,1.26884,575,1.26877,1.27103,1.26612,1352757600000,1352806412035,EUR/USD,36
4001,1.26877,1352806411522,1.2688,1.27089,1.26877,199.9,1.26876,75,1.26875,1010,1.26874,175,1.26873,550,1.2688,150,1.26881,300,1.26882,475,1.26883,900,1.26884,575,1.26877,1.27103,1.26612,1352757600000,1352806413908,EUR/USD,37
4001,1.26877,1352806413071,1.2688,1.27089,1.26877,199.9,1.26876,75,1.26875,1000,1.26874,175,1.26873,550,1.2688,150,1.26881,300,1.26882,475,1.26883,900,1.26884,575,1.26877,1.27103,1.26612,1352757600000,1352806416866,EUR/USD,38
4001,1.26877,1352806413329,1.2688,1.27089,1.26877,199.9,1.26876,75,1.26875,1000,1.26874,175,1.26873,550,1.2688,148,1.26881,300,1.26882,475,1.26883,900,1.26884,575,1.2688,1.27103,1.26612,1352757600000,1352806416894,EUR/USD,39
4001,1.26877,1352806413824,1.26879,1.27089,1.26877,199.9,1.26876,75,1.26875,1000,1.26874,125,1.26873,400,1.26879,50,1.2688,248,1.26881,150,1.26882,775,1.26883,1000,1.2688,1.27103,1.26612,1352757600000,1352806417008,EUR/USD,40
