instrumentId,valuationBidPrice,timeStamp,valuationAskPrice,lastMarketClosePrice,bid-price,bid-quantity,bid-price,bid-quantity,bid-price,bid-quantity,bid-price,bid-quantity,ask-price,ask-quantity,ask-price,ask-quantity,ask-price,ask-quantity,ask-price,ask-quantity,ask-price,ask-quantity,lastTradedPrice,dailyHighestTradedPrice,dailyLowestTradedPrice,marketClosePriceTimeStamp,timereceived,instruname,obeventrow
100723,84.3,1352467489437,84.34,84.99,84.3,100,84.29,100,84.25,100,84.2,200,84.34,100,84.36,100,84.39,100,84.44,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467492256,CLZ2,2
100723,84.29,1352467495195,84.33,84.99,84.29,100,84.28,100,84.24,100,84.19,200,84.33,100,84.35,100,84.38,100,84.43,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467495291,CLZ2,11
100723,84.28,1352467495429,84.32,84.99,84.28,100,84.27,100,84.23,100,84.18,200,84.32,100,84.34,100,84.37,100,84.42,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467495491,CLZ2,14
100723,84.25,1352467495788,84.33,84.99,84.25,100,84.24,100,84.2,100,84.15,200,84.33,100,84.35,100,84.38,100,84.43,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467495829,CLZ2,18
100723,84.24,1352467497204,84.32,84.99,84.24,100,84.23,100,84.19,100,84.14,200,84.32,100,84.34,100,84.37,100,84.42,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467497290,CLZ2,24
100723,84.26,1352467499042,84.3,84.99,84.26,100,84.25,100,84.21,100,84.16,200,84.3,100,84.32,100,84.35,100,84.4,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467499144,CLZ2,29
100723,84.27,1352467500529,84.31,84.99,84.27,100,84.26,100,84.22,100,84.17,200,84.31,100,84.33,100,84.36,100,84.41,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467500530,CLZ2,35
100723,84.26,1352467501643,84.3,84.99,84.26,100,84.25,100,84.21,100,84.16,200,84.3,100,84.32,100,84.35,100,84.4,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467501805,CLZ2,39
100723,84.27,1352467505366,84.31,84.99,84.27,100,84.26,100,84.22,100,84.17,200,84.31,100,84.33,100,84.36,100,84.41,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467505493,CLZ2,46
100723,84.28,1352467505847,84.32,84.99,84.28,100,84.27,100,84.23,100,84.18,200,84.32,100,84.34,100,84.37,100,84.42,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467505929,CLZ2,47
100723,84.27,1352467512809,84.31,84.99,84.27,100,84.26,100,84.22,100,84.17,200,84.31,100,84.33,100,84.36,100,84.41,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467512968,CLZ2,59
100723,84.26,1352467514420,84.3,84.99,84.26,100,84.25,100,84.21,100,84.16,200,84.3,100,84.32,100,84.35,100,84.4,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467514489,CLZ2,61
100723,84.25,1352467514810,84.29,84.99,84.25,100,84.24,100,84.2,100,84.15,200,84.29,100,84.31,100,84.34,100,84.39,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467514889,CLZ2,65
100723,84.24,1352467520854,84.28,84.99,84.24,100,84.23,100,84.19,100,84.14,200,84.28,100,84.3,100,84.33,100,84.38,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467520930,CLZ2,103
100723,84.23,1352467530264,84.27,84.99,84.23,100,84.22,100,84.18,100,84.13,200,84.27,100,84.29,100,84.32,100,84.37,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467530391,CLZ2,129
100723,84.19,1352467530478,84.27,84.99,84.19,100,84.18,100,84.14,100,84.09,200,84.27,100,84.29,100,84.32,100,84.37,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467530589,CLZ2,132
100723,84.2,1352467531601,84.28,84.99,84.2,100,84.19,100,84.15,100,84.1,200,84.28,100,84.3,100,84.33,100,84.38,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467531708,CLZ2,135
100723,84.21,1352467531928,84.29,84.99,84.21,100,84.2,100,84.16,100,84.11,200,84.29,100,84.31,100,84.34,100,84.39,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467531930,CLZ2,136
100723,84.2,1352467533030,84.28,84.99,84.2,100,84.19,100,84.15,100,84.1,200,84.28,100,84.3,100,84.33,100,84.38,200,85.82,1,84.2,85.52,84.2,1352408400000,1352467533029,CLZ2,141
